#Source City,Destination City
Changsha,Fuzhou
Changsha,Kunming
Changsha,Shenyang
Changsha,Wenzhou
Changsha,Xiamen
Chengdu,Guangzhou
Chengdu,Zhengzhou
Chengdu,Chongqing
Chengdu,Changsha
Chengdu,Dongsheng
Chengdu,Haikou
Chengdu,Hohhot
Chengdu,Hefei
Chengdu,Hangzhou
Chengdu,Hong Kong
Chengdu,Phuket
Chengdu,Seoul
Chengdu,Yinchuan
Chengdu,Jinghong
Chengdu,Song Pan
Chengdu,Nanchang
Chengdu,Kunming
Chengdu,Ganzhou
Chengdu,Guiyang
Chengdu,Lanzhou
Chengdu,Lijiang City
Chengdu,Luxi
Chengdu,Lhasa
Chengdu,Melbourne
Chengdu,Nanking/nanjing
Chengdu,Nanning
Chengdu,Beijing
Chengdu,Shanghai
Chengdu,Pan Zhi Hua
Chengdu,Shenyang
Chengdu,Shijiazhuang
Chengdu,Sanya
Chengdu,Shenzhen
Chengdu,Qingdao
Chengdu,Jinan
Chengdu,Taipei
Chengdu,Tianjin
Chengdu,Taiyuan
Chengdu,Urumqi
Chengdu,Wenzhou
Chengdu,Wuhan
Chengdu,Wuxi
Chengdu,Wanxian
Chengdu,Xichang
Chengdu,Xi An
Chengdu,Xiamen
Chengdu,Xining
Chengdu,Xuzhou
Chengdu,Yichang
Changzhou,Chongqing
Changzhou,Harbin
Changzhou,Xiamen
Changzhou,Zhuhai
Datong,Taiyuan
Dalian,Chongqing
Dalian,Hangzhou
Dalian,Harbin
Dalian,Jinan
Dalian,Xuzhou
Dunhuang,Lanzhou
Dongsheng,Chengdu
Dongsheng,Shenyang
Dayong,Chongqing
Dayong,Nanking/nanjing
Fuzhou,Changsha
Fuzhou,Xi An
Mildenhall,Lhasa
Mildenhall,Xi An
Haikou,Chongqing
Haikou,Chengdu
Haikou,Hangzhou
Haikou,Ningbo
Haikou,Zhuhai
Hohhot,Chengdu
Hefei,Chengdu
Hangzhou,Zhengzhou
Hangzhou,Chongqing
Hangzhou,Chengdu
Hangzhou,Dalian
Hangzhou,Haikou
Hangzhou,Guiyang
Hangzhou,Tianjin
Hangzhou,Taiyuan
Hong Kong,Chengdu
Hong Kong,Yichang
Hong Kong,Zhanjiang
Phuket,Chongqing
Phuket,Chengdu
Harbin,Zhengzhou
Harbin,Changzhou
Harbin,Dalian
Harbin,Yinchuan
Harbin,Ningbo
Harbin,Nanking/nanjing
Harbin,Manzhouli
Harbin,Shijiazhuang
Harbin,Jinan
Harbin,Tianjin
Harbin,Wenzhou
Harbin,Wuhan
Harbin,Xi An
Harbin,Xuzhou
Seoul,Chengdu
Yinchuan,Chongqing
Yinchuan,Chengdu
Yinchuan,Harbin
Yinchuan,Guilin
Jiayuguan,Lanzhou
Jinghong,Chengdu
Jinghong,Kunming
Jinjiang,Guiyang
Jinjiang,Wuhan
Song Pan,Chengdu
Kashi,Urumqi
Nanchang,Chongqing
Nanchang,Chengdu
Nanchang,Kunming
Nanchang,Ningbo
Kunming,Zhengzhou
Kunming,Chongqing
Kunming,Changsha
Kunming,Chengdu
Kunming,Jinghong
Kunming,Nanchang
Kunming,Guiyang
Kunming,Luxi
Kunming,Ningbo
Kunming,Nanking/nanjing
Kunming,Qingdao
Kunming,Jinan
Kunming,Taipei
Kunming,Wanxian
Kunming,Xi An
Kunming,Xiamen
Kunming,Xuzhou
Ganzhou,Chengdu
Ganzhou,Xiamen
Guiyang,Chengdu
Guiyang,Hangzhou
Guiyang,Jinjiang
Guiyang,Kunming
Guiyang,Lanzhou
Guiyang,Sanya
Guiyang,Wenzhou
Guiyang,Xuzhou
Guilin,Yinchuan
Guilin,Shijiazhuang
Guilin,Sanya
Lanzhou,Chongqing
Lanzhou,Chengdu
Lanzhou,Dunhuang
Lanzhou,Jiayuguan
